"name","address","city","state","zip","country","hours","google_url","phone","website","place_id"
"Southdale Library","7001 York Ave S","Edina","MN",55435,"US","<ul><li>Monday: 9:00 AM – 9:00 PM</li><li>Tuesday: 9:00 AM – 9:00 PM</li><li>Wednesday: 9:00 AM – 9:00 PM</li><li>Thursday: 9:00 AM – 9:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=8986271321859996239","612-543-5900","http://www.hclib.org/southdale","ChIJB3ETmB8k9ocRT7q-6iemtXw"
"St. Bonifacius Library","8624 Kennedy Memorial Dr","St Bonifacius","MN",55375,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: Closed</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: Closed</li><li>Friday: Closed</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11606115393453652944","612-543-6100","http://www.hclib.org/about/locations/st-bonifacius","ChIJ__PcfX8A9ocR0Hv_YHU0EaE"
"Hardwood Creek Library","19955 Forest Rd N","Forest Lake","MN",55025,"US","<ul><li>Monday: 9:30 AM – 8:00 PM</li><li>Tuesday: 9:30 AM – 8:00 PM</li><li>Wednesday: 9:30 AM – 8:00 PM</li><li>Thursday: 9:30 AM – 8:00 PM</li><li>Friday: 9:30 AM – 5:00 PM</li><li>Saturday: 9:30 AM – 5:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=9606793525362044678","651-275-7300","http://www.co.washington.mn.us/Facilities/Facility/Details/2","ChIJwTNGvRXdslIRBi-69c8vUoU"
"Carver County Court Services","604 E 4th St","Chaska","MN",55318,"US","","https://maps.google.com/?cid=6826380166213760546","952-361-1400","http://www.co.carver.mn.us/","ChIJ-c5HJ_EP9ocRInbx7JcsvF4"
"Ad Lib Inc","7436 Shannon Dr","Minneapolis","MN",55439,"US","","https://maps.google.com/?cid=15174997816237865603","612-676-2770","","ChIJux18M9Aj9ocRg7ovAB1smNI"
"North Memorial Med Center Library","3300 Oakdale Ave N","Robbinsdale","MN",55422,"US","<ul><li>Monday: 7:30 AM – 5:30 PM</li><li>Tuesday: 7:30 AM – 5:30 PM</li><li>Wednesday: 7:30 AM – 5:30 PM</li><li>Thursday: 7:30 AM – 5:30 PM</li><li>Friday: 7:30 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=17415946500026000435","763-520-5673","https://www.northmemorial.com/library","ChIJW_kdvsMzs1IRM-RBcRHfsfE"
"Marine Branch Library","121 Judd St","Marine on St Croix","MN",55047,"US","","https://maps.google.com/?cid=4910510712315358034","651-433-2820","http://marinecommunitylibrary.org/about-us","ChIJ06C0yS-_slIRUqtO0XmjJUQ"
"University of St Thomas - O'Shaughnessy-Frey Library Center","2115 Summit Ave","St Paul","MN",55105,"US","<ul><li>Monday: 7:30 AM – 2:00 AM</li><li>Tuesday: 7:30 AM – 2:00 AM</li><li>Wednesday: 7:30 AM – 2:00 AM</li><li>Thursday: 7:30 AM – 2:00 AM</li><li>Friday: 7:30 AM – 6:00 PM</li><li>Saturday: 10:00 AM – 6:00 PM</li><li>Sunday: 10:00 AM – 2:00 AM</li></ul>","https://maps.google.com/?cid=17562745001248035078","651-962-5001","http://www.stthomas.edu/libraries","ChIJieF9Ge4p9ocRBhEo-IZnu_M"
"Valley Library","380 St Croix Trail S","Lakeland","MN",55043,"US","<ul><li>Monday: 10:00 AM – 2:00 PM</li><li>Tuesday: 2:00 – 6:00 PM</li><li>Wednesday: 2:00 – 6:00 PM</li><li>Thursday: 2:00 – 6:00 PM</li><li>Friday: 10:00 AM – 2:00 PM</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=14268921133353431474","651-436-5882","http://www.co.washington.mn.us/Facilities/Facility/Details/5","ChIJn_QZ13Pg94cRsnGYuStkBcY"
"Little Free Library","573 Co Rd A","Hudson","WI",54016,"US","","https://maps.google.com/?cid=5050651659996279481","715-690-2488","http://www.littlefreelibrary.org/","ChIJk7wB-9FU2YARubJQ3uyEF0Y"
"New Prague Library","400 Main St E","New Prague","MN",56071,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 1:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: Closed</li><li>Saturday: 10:00 AM – 4:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=12125810131384959406","952-758-2391","http://www.scottlib.org/","ChIJtZhCLCVu9ocRroEItxGIR6g"
"Great River Regional Library","8220 Cedar St","Rockford","MN",55373,"US","<ul><li>Monday: 2:00 – 8:00 PM</li><li>Tuesday: 2:00 – 8:00 PM</li><li>Wednesday: 10:00 AM – 6:00 PM</li><li>Thursday: 3:00 – 8:00 PM</li><li>Friday: 3:00 – 6:00 PM</li><li>Saturday: 10:00 AM – 1:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=9678957183248022027","763-477-4216","http://www.griver.org/","ChIJJai0AidYs1IRC7q230aQUoY"
"Linden Hills Library","2900 W 43rd St","Minneapolis","MN",55410,"US","<ul><li>Monday: 9:00 AM – 5:00 PM</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=8128703116339997104","612-543-6825","http://www.hclib.org/lindenhills","ChIJZZvfnhcn9ocRsGkOpmr0znA"
"The Friends of The Saint Paul Library","325 Cedar St","St Paul","MN",55101,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 10:00 AM – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 5:30 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=7168911561695734052","651-222-3242","http://www.thefriends.org/","ChIJj-UJpE7V94cRJKkQNRUXfWM"
"Engineering & Vendor Library","900 Bush Ave","St Paul","MN",55106,"US","","https://maps.google.com/?cid=11654144621702943703","651-733-1110","","ChIJ_zCdRCnVslIR1xOigcnWu6E"
"Roosevelt Library","4026 28th Ave S","Minneapolis","MN",55406,"US","<ul><li>Monday: Closed</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: Closed</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: Closed</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=13286757643187740834","612-543-6700","http://www.hclib.org/roosevelt","ChIJYda3bUQo9ocRomDpIq4LZLg"
"Minnesota State Law Library","25 Rev Dr Martin Luther King Jr Boulevard.","St Paul","MN",55155,"US","","https://maps.google.com/?cid=8971268540873120701","651-296-2775","http://mn.gov/lawlib/","ChIJp00Unqsq9ocRvRthwzRZgHw"
"Quatrefoil Library","1220 E Lake St","Minneapolis","MN",55407,"US","<ul><li>Monday: 7:00 – 9:00 PM</li><li>Tuesday: 7:00 – 9:00 PM</li><li>Wednesday: 7:00 – 9:00 PM</li><li>Thursday: 7:00 – 9:00 PM</li><li>Friday: 7:00 – 9:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=17152482894619479610","612-729-2543","http://www.qlibrary.org/","ChIJVW9RMAco9ocROg7CnVDcCe4"
"Jola Publications","1828 Jefferson St NE","Minneapolis","MN",55418,"US","<ul><li>Monday: 9:00 AM – 5:00 PM</li><li>Tuesday: 9:00 AM – 5:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=6325554136312275588","612-529-5001","http://www.jolapub.com/","ChIJTbT4kBQys1IRhGJlBvnhyFc"
"Wescott Library","1340 Wescott Rd","St Paul","MN",55123,"US","<ul><li>Monday: 10:00 AM – 8:30 PM</li><li>Tuesday: 10:00 AM – 8:30 PM</li><li>Wednesday: 10:00 AM – 8:30 PM</li><li>Thursday: 10:00 AM – 8:30 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 5:30 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=3937735164410481790","651-450-2900","https://www.co.dakota.mn.us/libraries/Pages/default.aspx","ChIJQbp6eu4t9ocRfkxA3kSlpTY"
"Northeast Library","2200 Central Ave NE","Minneapolis","MN",55418,"US","<ul><li>Monday: 9:00 AM – 5:00 PM</li><li>Tuesday: 9:00 AM – 5:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=6885660789933244597","612-543-6775","http://www.hclib.org/northeast","ChIJxxnqM-sts1IRtYDOswHIjl8"
"Anoka County Law Library","325 E Main St # E130","Anoka","MN",55303,"US","<ul><li>Monday: 8:00 AM – 4:30 PM</li><li>Tuesday: 8:00 AM – 4:30 PM</li><li>Wednesday: 8:00 AM – 4:30 PM</li><li>Thursday: 8:00 AM – 4:30 PM</li><li>Friday: 8:00 AM – 4:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=16842075498084576722","763-422-7487","https://www.anokacounty.us/159/Law-Library","ChIJ6Q3se5M-s1IR0i2kr24Su-k"
"Little Free Library","759 95th Ln NE","Blaine","MN",55434,"US","<ul><li>Monday: Open 24 hours</li><li>Tuesday: Open 24 hours</li><li>Wednesday: Open 24 hours</li><li>Thursday: Open 24 hours</li><li>Friday: Open 24 hours</li><li>Saturday: Open 24 hours</li><li>Sunday: Open 24 hours</li></ul>","https://maps.google.com/?cid=8760436117295734169","715-690-2488","http://www.littlefreelibrary.org/","ChIJF4HjmeMks1IRmR3q4DtSk3k"
"St Croix Falls Public Library","230 S Washington St","St Croix Falls","WI",54024,"US","<ul><li>Monday: 9:30 AM – 7:00 PM</li><li>Tuesday: 9:30 AM – 7:00 PM</li><li>Wednesday: 9:30 AM – 7:00 PM</li><li>Thursday: 9:30 AM – 7:00 PM</li><li>Friday: 9:30 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=15827620609954292186","715-483-1777","http://www.stcroixfallslibrary.org/","ChIJq04i1LCaslIR2iH6HxYBp9s"
"Libreia 2 Culturas","1515 E Lake St","Minneapolis","MN",55407,"US","","https://maps.google.com/?cid=8014854755232280291","612-728-5419","","ChIJa5MvHAQo9ocR4274c-97Om8"
"Children's Literature Research Collections","222 21st Ave S","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=6088599218480783896","612-624-4576","http://special.lib.umn.edu/clrc/","ChIJo4P-fGots1IRGKJE_boMf1Q"
"Chisago Lakes Area Library","11754 302nd St","Chisago City","MN",55013,"US","","https://maps.google.com/?cid=7554864825823712866","651-257-2817","","ChIJB_JGbHDuslIRYtZQHYhF2Gg"
"Brooklyn Park Library","8600 Zane Ave N","Brooklyn Park","MN",55443,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=7983370115347915677","612-543-6225","http://www.hclib.org/brooklynpark","ChIJ59j-Fh06s1IRnSPIe9Kgym4"
"Ramsey County Law Library","15 W Kellogg Blvd","St Paul","MN",55102,"US","","https://maps.google.com/?cid=14785154726126274229","651-266-8391","https://www.ramseycounty.us/residents/libraries/law-library","ChIJB2yhCkzV94cRtcbxZ-NrL80"
"Sumner Library","611 Van White Memorial Blvd","Minneapolis","MN",55411,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 9:00 AM – 5:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=900297873011410808","612-543-6875","http://www.hclib.org/sumner","ChIJrYhILPoys1IReIfiQCWAfgw"
"Farmington Library","508 3rd St","Farmington","MN",55024,"US","<ul><li>Monday: 12:00 – 8:30 PM</li><li>Tuesday: 12:00 – 8:30 PM</li><li>Wednesday: 12:00 – 8:30 PM</li><li>Thursday: 10:00 AM – 5:30 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 5:30 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=6783847489889034479","651-438-0250","https://www.co.dakota.mn.us/libraries/Pages/default.aspx","ChIJCaqEbV1K9ocR7-BChVkRJV4"
"Metropolitan State University Library and Learning Center","645 E 7th St","St Paul","MN",55106,"US","<ul><li>Monday: 8:00 AM – 11:00 PM</li><li>Tuesday: 8:00 AM – 11:00 PM</li><li>Wednesday: 8:00 AM – 11:00 PM</li><li>Thursday: 8:00 AM – 11:00 PM</li><li>Friday: 8:00 AM – 8:00 PM</li><li>Saturday: 8:00 AM – 8:00 PM</li><li>Sunday: 12:00 – 11:00 PM</li></ul>","https://maps.google.com/?cid=11253205871303821704","651-793-1616","http://www.metrostate.edu/library","ChIJYeudM2DV94cRiIlnLx5rK5w"
"Washington County Library","8595 Central Park Pl","Woodbury","MN",55125,"US","","https://maps.google.com/?cid=1888670224665980534","651-275-8500","http://www.co.washington.mn.us/Library","ChIJbZJrsdDZ94cRdq4SD5DnNRo"
"Sevareid Journalism Library","206 Church St SE","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=12982568796830690653","612-625-7892","https://www.lib.umn.edu/journalism","ChIJte0l9xYts1IRXe0pP4lZK7Q"
"Ramsey County Libraries: Roseville","2180 Hamline Ave N","Roseville","MN",55113,"US","<ul><li>Monday: 10:00 AM – 9:00 PM</li><li>Tuesday: 10:00 AM – 9:00 PM</li><li>Wednesday: 10:00 AM – 9:00 PM</li><li>Thursday: 10:00 AM – 9:00 PM</li><li>Friday: 10:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=15803126922543495025","651-628-6803","http://www.rclreads.org/","ChIJh7-u0bsrs1IRcfedHjX8T9s"
"Elmer L. Andersen Library","222 21st Ave S","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=18368686688616184482","612-625-9825","https://www.lib.umn.edu/andersen","ChIJo4P-fGots1IRovppyTiv6v4"
"Southeast Library","1222 4th St SE","Minneapolis","MN",55414,"US","<ul><li>Monday: Closed</li><li>Tuesday: 9:00 AM – 5:00 PM</li><li>Wednesday: Closed</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: Closed</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=10536925661852483339","612-543-6725","http://www.hclib.org/southeast","ChIJTQAOQRIts1IRCz9q-w-uOpI"
"James J. Hill Center","80 W 4th St","St Paul","MN",55102,"US","<ul><li>Monday: 10:00 AM – 5:00 PM</li><li>Tuesday: 10:00 AM – 5:00 PM</li><li>Wednesday: 10:00 AM – 5:00 PM</li><li>Thursday: 10:00 AM – 5:00 PM</li><li>Friday: Closed</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=3890872432962816201","651-265-5500","http://www.jjhill.org/","ChIJXXpIXEvV94cRycgb8dwn_zU"
"Saint Anthony Library","2941 Pentagon Dr","St Anthony","MN",55418,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=8265631313008263054","612-543-6075","http://www.hclib.org/stanthony","ChIJJZoHRjEss1IRjv8z0OJrtXI"
"North Branch Area Library","6355 379th St","North Branch","MN",55056,"US","<ul><li>Monday: 10:00 AM – 6:00 PM</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: 10:00 AM – 6:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 10:00 AM – 6:00 PM</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=7938840660958002982","651-674-8443","","ChIJ0wpCokX3slIRJj_U9IRtLG4"
"Aero System Engineering Inc Library","358 E Fillmore Ave","St Paul","MN",55107,"US","","https://maps.google.com/?cid=12541025293688216995","651-227-7515","http://www.aseholdings.com/","ChIJLzB6RGrV94cRo515NQ-sCq4"
"Wyoming Area Library","26855 Forest Blvd","Wyoming","MN",55092,"US","","https://maps.google.com/?cid=12772973202907780800","651-462-9001","http://wyominglibraryfriends.org/","ChIJs28aRd7lslIRwNbmNHS3QrE"
"201 Technical Library","3M Center","St Paul","MN",55144,"US","","https://maps.google.com/?cid=191883850434446337","651-575-1300","http://www.3m.com/","ChIJW3FDmeLVslIRAYRHZ1i1qQI"
"Allina Health System Library","800 E 28th St","Minneapolis","MN",55407,"US","<ul><li>Monday: 8:00 AM – 5:00 PM</li><li>Tuesday: 8:00 AM – 5:00 PM</li><li>Wednesday: 8:00 AM – 5:00 PM</li><li>Thursday: 8:00 AM – 5:00 PM</li><li>Friday: 8:00 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=3429958654691548367","612-863-4312","http://www.allinahealth.org/","ChIJz24ca_8n9ocRz5wqRzmpmS8"
"Gramercy Greenhaven Library","600 Greenhaven Dr","Burnsville","MN",55306,"US","","https://maps.google.com/?cid=17265913836963278530","952-223-0105","http://www.gramercygreenhaven.com/","ChIJxUFUL4g59ocRwq6y7ifZnO8"
"Prior Lake Library","16210 Eagle Creek Ave SE","Prior Lake","MN",55372,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 1:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 1:00 – 5:00 PM</li><li>Saturday: 10:00 AM – 4:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=5095265669870556970","952-447-3375","http://www.scottlib.org/","ChIJFbG2wOUV9ocRKpfggCEFtkY"
"Hosmer Library","347 E 36th St","Minneapolis","MN",55408,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=11249478823061934828","612-543-6900","http://www.hclib.org/hosmer","ChIJ_zIV--gn9ocR7NLiJGMtHpw"
"Washington County Law Library","14949 62nd St N","Stillwater","MN",55082,"US","","https://maps.google.com/?cid=6290355270747085636","651-430-6330","https://www.co.washington.mn.us/lawlibrary","ChIJsWYRvR_KslIRRNvif8rUS1c"
"Minnesota Library Association","1821 University Ave W","St Paul","MN",55104,"US","","https://maps.google.com/?cid=13893003357317581178","651-999-5343","http://www.mnlibraryassociation.org/","ChIJHTcmH1Urs1IRekk5-PHczcA"
"Great River Regional Library","160 Railroad Ave","Delano","MN",55328,"US","<ul><li>Monday: 10:00 AM – 6:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 1:00 – 8:00 PM</li><li>Thursday: 1:00 – 8:00 PM</li><li>Friday: 1:00 – 6:00 PM</li><li>Saturday: 10:00 AM – 1:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=4798307355827067331","763-972-3467","http://www.griver.org/","ChIJSfwP46-ptFIRw1k3Gx4Dl0I"
"Metronet","1619 W Dayton Ave","St Paul","MN",55104,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 9:00 AM – 8:00 PM</li><li>Friday: 9:00 AM – 5:30 PM</li><li>Saturday: 9:00 AM – 5:30 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=14264722524401141022","651-646-0475","http://www.metrolibraries.net/","ChIJc6kEXQUq9ocRHoVx5o559sU"
"Paloranta Mary Jo","14500 Chateau Ln","Burnsville","MN",55306,"US","","https://maps.google.com/?cid=8017836060458224797","952-894-7696","","ChIJZTWqMBY69ocRnQzuqmoTRW8"
"O. Meredith Wilson Library","309 19th Ave S","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=17315475062653604269","612-624-3321","https://www.lib.umn.edu/","ChIJS_44o0Ets1IRrVGaAtTsTPA"
"Normandale Library","9700 France Ave S","Bloomington","MN",55431,"US","<ul><li>Monday: 7:45 AM – 9:50 PM</li><li>Tuesday: 7:45 AM – 9:50 PM</li><li>Wednesday: 7:45 AM – 9:50 PM</li><li>Thursday: 7:45 AM – 9:50 PM</li><li>Friday: 7:45 AM – 5:50 PM</li><li>Saturday: 9:00 AM – 3:50 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=9709045132600196191","952-358-8290","http://www.normandale.edu/","ChIJQR6y4Jok9ocRX7zefBt1vYY"
"Minneapolis College of Art and Design","2501 Stevens Ave","Minneapolis","MN",55404,"US","","https://maps.google.com/?cid=15215479062634328060","612-874-3700","http://mcad.edu/","ChIJDSb7ErQys1IR_G-2p5c9KNM"
"Shoreview Library","4570 Victoria St N","Shoreview","MN",55126,"US","<ul><li>Monday: 10:00 AM – 9:00 PM</li><li>Tuesday: 1:00 – 9:00 PM</li><li>Wednesday: 1:00 – 9:00 PM</li><li>Thursday: 10:00 AM – 5:00 PM</li><li>Friday: 10:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=17493174508055047750","651-724-6006","http://www.rclreads.org/","ChIJITb4W0Yos1IRRi6KQog9xPI"
"Excelsior Library","337 Water St","Excelsior","MN",55331,"US","<ul><li>Monday: 9:00 AM – 5:00 PM</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=1997890952473391434","612-543-6350","http://www.hclib.org/excelsior","ChIJLzwcfdkc9ocRSrEkajzvuRs"
"Bethel Seminary Library","3949 Bethel Dr","Arden Hills","MN",55112,"US","<ul><li>Monday: 8:30 AM – 8:30 PM</li><li>Tuesday: 8:30 AM – 8:30 PM</li><li>Wednesday: 8:30 AM – 5:00 PM</li><li>Thursday: 8:30 AM – 8:30 PM</li><li>Friday: 8:30 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=6817745613189259167","651-638-6184","","ChIJ74YBIQ4ps1IRn58fY4N_nV4"
"Centennial Library","100 Civic Heights Cir","Circle Pines","MN",55014,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 10:00 AM – 6:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 6:00 PM</li><li>Friday: 12:00 – 6:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=3571042293870826459","763-717-3294","http://www.anokacountylibrary.org/","ChIJMZOMhgAns1IR2xMRzAvkjjE"
"R.H. Stafford Library","8595 Central Park Pl","Woodbury","MN",55125,"US","<ul><li>Monday: 9:30 AM – 8:00 PM</li><li>Tuesday: 9:30 AM – 8:00 PM</li><li>Wednesday: 9:30 AM – 8:00 PM</li><li>Thursday: 9:30 AM – 8:00 PM</li><li>Friday: 9:30 AM – 5:00 PM</li><li>Saturday: 9:30 AM – 5:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=3881256102775985805","651-731-1320","http://www.co.washington.mn.us/Facilities/Facility/Details/1","ChIJbZJrsdDZ94cRjZZHmNz93DU"
"Oakdale Library","1010 Heron Ave N","Oakdale","MN",55128,"US","<ul><li>Monday: 9:30 AM – 8:00 PM</li><li>Tuesday: 12:30 – 8:00 PM</li><li>Wednesday: 12:30 – 8:00 PM</li><li>Thursday: 12:30 – 8:00 PM</li><li>Friday: 12:30 – 5:00 PM</li><li>Saturday: 9:30 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=13187996471990176497","651-730-0504","http://www.co.washington.mn.us/Facilities/Facility/Details/3","ChIJi4LZfbLSslIR8UoUFOssBbc"
"Mary Ann King Health Sci Library","6401 France Ave S","Minneapolis","MN",55435,"US","","https://maps.google.com/?cid=10454435383485807754","952-924-5005","","ChIJqZad0rom9ocRijzyX5edFZE"
"Osseo Library","415 Central Ave","Osseo","MN",55369,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 9:00 AM – 5:00 PM</li><li>Wednesday: Closed</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: Closed</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=18408557316425326906","612-543-5750","http://www.hclib.org/osseo","ChIJiZdWpEs4s1IROiHzuFhVeP8"
"West Seventh Library","265 Oneida St","St Paul","MN",55102,"US","<ul><li>Monday: 12:30 – 8:00 PM</li><li>Tuesday: 11:30 AM – 5:30 PM</li><li>Wednesday: 10:00 AM – 5:30 PM</li><li>Thursday: 12:30 – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=7613818040559436620","651-298-5516","http://www.sppl.org/about/locations/west-7th","ChIJmRpakO4q9ocRTIMBDCu3qWk"
"DeWitt Wallace Library","1600 Grand Ave","St Paul","MN",55105,"US","<ul><li>Monday: 8:00 AM – 1:00 AM</li><li>Tuesday: 8:00 AM – 1:00 AM</li><li>Wednesday: 8:00 AM – 1:00 AM</li><li>Thursday: 8:00 AM – 1:00 AM</li><li>Friday: 8:00 AM – 10:00 PM</li><li>Saturday: 11:00 AM – 10:00 PM</li><li>Sunday: 10:00 AM – 12:00 AM</li></ul>","https://maps.google.com/?cid=17094532786030421672","651-696-6346","http://www.macalester.edu/library/","ChIJN_rFwxkq9ocRqKaciP_6O-0"
